ID,SOP_Type,SOP_Number,Item_Number,Item_Description,QTY,UOfM,Extended_Cost,Extended_Price,Unit_Cost,Unit_Price,Customer_Number,Document_Date,Requested_Ship_Date,Item_Class,Document_Status,Last Payment_Amount,SalespersonID,Posting_Status,Total_SalesYTD,Revenue,Margin,LostOnSale,MarginBucket,ActualSales,RequestedMonth,RequestedYear
INV05629_SB,Invoice,INV05629,SB,Sample Box,1,Each,0,1.5,0,1.5,BONLAC,44273,44273,NON-INV,Posted,320188.32,LSANTIAGO,Posted,8464367.53,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05639_I-170061A,Invoice,INV05639,I-170061A,Apple Juice Concentrate 70 Brix,1100,KG,1573,1881,1.43,1.71,AJECEN,44274,44274,RE-SALE,Posted,1633.5,LSANTIAGO,Posted,68442.19,308,0.16374269,Normal Revenue,Between 10% and 20%,1881,3,2021
INV05641_L-3655,Invoice,INV05641,L-3655,Lemon Black Tea Color Phase,21.33,KG,109.64,235.48,5.14,11.04,TICO BEBIDAS,44274,44274,FLAVOR,Posted,2960,LSANTIAGO,Posted,10046.61,125.84,0.534397826,Normal Revenue,More than 30%,235.48,3,2021
INV05641_L-3652,Invoice,INV05641,L-3652,Sabor Te Blanco de Arandano,19.65,KG,111.22,280.01,5.66,14.25,TICO BEBIDAS,44274,44274,FLAVOR,Posted,2960,LSANTIAGO,Posted,10046.61,168.79,0.6027999,Normal Revenue,More than 30%,280.01,3,2021
INV05641_L-3654,Invoice,INV05641,L-3654,Apple and Pear FL,20.34,KG,129.97,311,6.39,15.29,TICO BEBIDAS,44274,44274,FLAVOR,Posted,2960,LSANTIAGO,Posted,10046.61,181.03,0.582090032,Normal Revenue,More than 30%,311,3,2021
INV05641_I-030020A,Invoice,INV05641,I-030020A,Tannic Acid,25,KG,1159.5,1450,46.38,58,TICO BEBIDAS,44274,44274,RE-SALE,Posted,2960,LSANTIAGO,Posted,10046.61,290.5,0.200344828,Normal Revenue,Between 30% and 30%,1450,3,2021
INV05641_SB,Invoice,INV05641,SB,Sample Box,1,Each,0,1.5,0,1.5,TICO BEBIDAS,44274,44274,NON-INV,Posted,2960,LSANTIAGO,Posted,10046.61,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05651_I-170037A,Invoice,INV05651,I-170037A,"Lemon Juice Concentrate, 400 GPL, Less t",256.41,KG,564.1,825.64,2.2,3.22,PANAJUGO,44274,44274,RE-SALE,Posted,2.74,LSANTIAGO,Posted,135891.89,261.54,0.316772443,Normal Revenue,More than 30%,825.64,3,2021
INV05651_I-170095A,Invoice,INV05651,I-170095A,Passionfruit Juice Conc 14 Brix Nat,362.8,KG,936.02,990.44,2.58,2.73,PANAJUGO,44274,44274,RE-SALE,Posted,2.74,LSANTIAGO,Posted,135891.89,54.42,0.054945277,Normal Revenue,Between 0% and 10%,990.44,3,2021
INV05574_R-1010,Invoice,INV05574,R-1010,Lemon Juice Concentrate 400 GPL,48,KG,126.72,160.32,2.64,3.34,LA RANA DORADA,44279,44279,RE-PACK,Posted,1391.9,LSANTIAGO,Posted,8100.29,33.6,0.209580838,Normal Revenue,Between 30% and 30%,160.32,3,2021
INV05664_D-7929,Invoice,INV05664,D-7929,UHT Hollandia Stabilizer low cost,6350.35,KG,34672.91,52072.87,5.46,8.2,CANNEX,44277,44277,RE-SALE,Posted,66678.76,ASTANZIOLA,Posted,2195688.4,17399.96,0.334146361,Normal Revenue,More than 30%,52072.87,3,2021
INV05664_D-7898,Invoice,INV05664,D-7898,T-Shake Stabilizer,2721.58,KG,17880.78,21364.4,6.57,7.85,CANNEX,44277,44277,RE-SALE,Posted,66678.76,ASTANZIOLA,Posted,2195688.4,3483.62,0.163057235,Normal Revenue,Between 10% and 20%,21364.4,3,2021
INV05642_I-210001A,Invoice,INV05642,I-210001A,Potassium Sorbate Granular,25,KG,116.25,162.5,4.65,6.5,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,46.25,0.284615385,Normal Revenue,Between 30% and 30%,162.5,3,2021
INV05642_I-030010A,Invoice,INV05642,I-030010A,Citric Acid Anhydrous,425,KG,573.75,756.5,1.35,1.78,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,182.75,0.241573034,Normal Revenue,Between 30% and 30%,756.5,3,2021
INV05642_I-210006A,Invoice,INV05642,I-210006A,Sodium Citrate,50,KG,60.5,82.5,1.21,1.65,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,22,0.266666667,Normal Revenue,Between 30% and 30%,82.5,3,2021
INV05642_I-270032A,Invoice,INV05642,I-270032A,Shade Vivid Red,12.5,KG,434.12,690.5,34.73,55.24,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,256.38,0.371296162,Normal Revenue,More than 30%,690.5,3,2021
INV05642_I-270005A,Invoice,INV05642,I-270005A,Caramel Color 108,1,KG,3.22,4.69,3.22,4.69,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,1.47,0.313432836,Normal Revenue,More than 30%,4.69,3,2021
INV05642_D-7872,Invoice,INV05642,D-7872,FISA Natural Sweet Flavor (F),5,KG,181.75,486.75,36.35,97.35,BELIZE BREWING,44274,44274,DRY BLEND,Posted,124754.19,LSANTIAGO,Posted,285849.41,305,0.626605033,Normal Revenue,More than 30%,486.75,3,2021
INV06530_L-3880,Invoice,INV06530,L-3880,N&A Strawberry FL,118.08,KG,995.42,1649.58,8.43,13.97,CANNEX,44602,44602,FLAVOR,Posted,66678.76,ASTANZIOLA,Posted,2195688.4,654.16,0.396561549,Normal Revenue,More than 30%,1649.58,2,2022
INV06530_SB,Invoice,INV06530,SB,Sample Box,1,Each,0,1.5,0,1.5,CANNEX,44602,44602,NON-INV,Posted,66678.76,ASTANZIOLA,Posted,2195688.4,1.5,1,Normal Revenue,More than 30%,1.5,2,2022
INV06539_D-7658,Invoice,INV06539,D-7658,"Red 2, Granular",50,KG,719.5,899,14.39,17.98,TROPIC,44602,44602,RE-SALE,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,179.5,0.199666296,Normal Revenue,Between 10% and 20%,899,2,2022
INV06540_L-2500,Invoice,INV06540,L-2500,N&A Mixed Fruit FL,732,KG,5826.72,9193.92,7.96,12.56,TROPIC,44602,44602,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,3367.2,0.366242038,Normal Revenue,More than 30%,9193.92,2,2022
INV06540_L-1688,Invoice,INV06540,L-1688,NAT Cloud Emuls,1200,KG,5040,6480,4.2,5.4,TROPIC,44602,44602,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,1440,0.222222222,Normal Revenue,Between 30% and 30%,6480,2,2022
INV06543_L-2493,Invoice,INV06543,L-2493,N&A Strawberry Melon FL,1252.3,KG,9379.73,10406.61,7.49,8.31,TROPIC,44602,44602,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,1026.88,0.098675746,Normal Revenue,Between 0% and 10%,10406.61,2,2022
INV06543_L-1688,Invoice,INV06543,L-1688,NAT Cloud Emuls,4000,KG,16875.63,21600,4.22,5.4,TROPIC,44602,44602,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,4724.37,0.218720833,Normal Revenue,Between 30% and 30%,21600,2,2022
INV06546_D-7835,Invoice,INV06546,D-7835,Isotonic Mineral Blend (F),2000,KG,9506.25,17000,4.75,8.5,TROPIC,44602,44602,DRY BLEND,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,7493.75,0.440808824,Normal Revenue,More than 30%,17000,2,2022
INV06547_L-2492,Invoice,INV06547,L-2492,N&A Kiwi Melon FL,1448,KG,11395.76,23530,7.87,16.25,TROPIC,44602,44602,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,12134.24,0.515692308,Normal Revenue,More than 30%,23530,2,2022
INV06535_L-1516,Invoice,INV06535,L-1516,NAT Cranberry Essence WONF,200,KG,1226,2270,6.13,11.35,SM JALEEL,44603,44603,FLAVOR,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1044,0.459911894,Normal Revenue,More than 30%,2270,2,2022
INV06535_L-3098,Invoice,INV06535,L-3098,N&A Bubblegum FL Emulsion,443.08,KG,2086.91,3145.87,4.71,7.1,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1058.96,0.336619123,Normal Revenue,More than 30%,3145.87,2,2022
INV06535_L-3383,Invoice,INV06535,L-3383,N&A Kiwi Strawberry Fl Emulsion,225.39,KG,1548.43,8032.9,6.87,35.64,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,6484.47,0.80723898,Normal Revenue,More than 30%,8032.9,2,2022
INV06535_L-1688,Invoice,INV06535,L-1688,NAT Cloud Emuls,800,KG,3365,4648,4.21,5.81,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1283,0.276032702,Normal Revenue,Between 30% and 30%,4648,2,2022
INV06535_B-1356,Invoice,INV06535,B-1356,N&A Pineapple FL Juice Base,890.52,KG,3882.67,4105.3,4.36,4.61,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,222.63,0.054229898,Normal Revenue,Between 0% and 10%,4105.3,2,2022
INV06535_B-1487,Invoice,INV06535,B-1487,N&A Orange Pineapple FJB,5801.9,KG,19552.4,27442.99,3.37,4.73,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,7890.59,0.287526614,Normal Revenue,Between 30% and 30%,27442.99,2,2022
INV06535_E-0158,Invoice,INV06535,E-0158,N&A Guava Pineapple FL Emls,520.8398,KG,2687.54,4401.1,5.16,8.45,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1713.56,0.389348118,Normal Revenue,More than 30%,4401.1,2,2022
INV06535_SB,Invoice,INV06535,SB,Sample Box,1,Each,0,1.5,0,1.5,SM JALEEL,44603,44603,NON-INV,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1.5,1,Normal Revenue,More than 30%,1.5,2,2022
INV06536_L-3098,Invoice,INV06536,L-3098,N&A Bubblegum FL Emulsion,866.02,KG,4078.96,6148.74,4.71,7.1,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,2069.78,0.336618559,Normal Revenue,More than 30%,6148.74,2,2022
INV06536_L-1688,Invoice,INV06536,L-1688,NAT Cloud Emuls,1460,KG,6132,8482.6,4.2,5.81,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,2350.6,0.277108434,Normal Revenue,Between 30% and 30%,8482.6,2,2022
INV06536_B-1356,Invoice,INV06536,B-1356,N&A Pineapple FL Juice Base,955.68,KG,4166.76,4405.68,4.36,4.61,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,238.92,0.054229994,Normal Revenue,Between 0% and 10%,4405.68,2,2022
INV06536_E-0158,Invoice,INV06536,E-0158,N&A Guava Pineapple FL Emls,400.646,KG,2067.33,3385.46,5.16,8.45,SM JALEEL,44603,44603,EMULSION,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1318.13,0.389350339,Normal Revenue,More than 30%,3385.46,2,2022
INV06536_L-2607,Invoice,INV06536,L-2607,N&A Apple Grape FL,1010.82,KG,7810.07,8551.54,7.73,8.46,SM JALEEL,44603,44603,FLAVOR,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,741.47,0.08670602,Normal Revenue,Between 0% and 10%,8551.54,2,2022
INV06537_L-2607,Invoice,INV06537,L-2607,N&A Apple Grape FL,198.2,KG,1536.05,1676.77,7.75,8.46,SM JALEEL,44603,44603,FLAVOR,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,140.72,0.083923257,Normal Revenue,Between 0% and 10%,1676.77,2,2022
INV06538_B-1029,Invoice,INV06538,B-1029,N&A Fruit Punch FL Juice Base,5659,KG,7904.5,9099.67,3.49,4.02,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1195.17,0.131342126,Normal Revenue,Between 10% and 20%,9099.67,2,2022
INV06538_B-1029P,Invoice,INV06538,B-1029P,N&A Fruit Punch FJB,701.53,KG,2574.62,2946.43,3.67,4.2,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,371.81,0.126189999,Normal Revenue,Between 10% and 20%,2946.43,2,2022
INV06538_B-1017,Invoice,INV06538,B-1017,N&A KK Guava Pina Juice Base,1332,KG,4635.36,5461.2,3.48,4.1,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,825.84,0.151219512,Normal Revenue,Between 10% and 20%,5461.2,2,2022
INV06538_B-1008,Invoice,INV06538,B-1008,N&A Guava Pina FL Juice Base,5280,KG,19377.6,31363.2,3.67,5.94,SM JALEEL,44603,44603,FJB,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,11985.6,0.382154882,Normal Revenue,More than 30%,31363.2,2,2022
INV06538_SB,Invoice,INV06538,SB,Sample Box,1,Each,0,1.5,0,1.5,SM JALEEL,44603,44603,NON-INV,Posted,160606.4,ASTANZIOLA,Posted,7852497.22,1.5,1,Normal Revenue,More than 30%,1.5,2,2022
INV05641_L-2686,Invoice,INV05641,L-2686,Tea Essence FTNF,57,KG,400.14,578.55,7.02,10.15,TICO BEBIDAS,44274,44274,RE-PACK,Posted,2960,LSANTIAGO,Posted,10046.61,178.41,0.308374384,Normal Revenue,More than 30%,578.55,3,2021
INV05641_L-3653,Invoice,INV05641,L-3653,Sabor Te Negro,41.58,KG,257.8,715.18,6.2,17.2,TICO BEBIDAS,44274,44274,FLAVOR,Posted,2960,LSANTIAGO,Posted,10046.61,457.38,0.639531307,Normal Revenue,More than 30%,715.18,3,2021
INV05642_L-4912,Invoice,INV05642,L-4912,Nat Soursop Fl WONF,1428.48,KG,7570.94,28241.05,5.3,19.77,BELIZE BREWING,44274,44274,FLAVOR,Posted,124754.19,LSANTIAGO,Posted,285849.41,20670.11,0.731917191,Normal Revenue,More than 30%,28241.05,3,2021
INV05642_L-4913,Invoice,INV05642,L-4913,Nat Pineapple Fl WONF,1429.41,KG,7447.23,27516.14,5.21,19.25,BELIZE BREWING,44274,44274,FLAVOR,Posted,124754.19,LSANTIAGO,Posted,285849.41,20068.91,0.729350483,Normal Revenue,More than 30%,27516.14,3,2021
INV05642_L-4760,Invoice,INV05642,L-4760,Nat Watermelon Lime Fl WONF,1664.4,KG,8704.81,20139.24,5.23,12.1,BELIZE BREWING,44274,44274,FLAVOR,Posted,124754.19,LSANTIAGO,Posted,285849.41,11434.43,0.567768694,Normal Revenue,More than 30%,20139.24,3,2021
INV05642_E-0261,Invoice,INV05642,E-0261,Nat Cloud Emls XX,114.12,KG,718.96,1626.21,6.3,14.25,BELIZE BREWING,44274,44274,EMULSION,Posted,124754.19,LSANTIAGO,Posted,285849.41,907.25,0.557892277,Normal Revenue,More than 30%,1626.21,3,2021
INV05642_L-4056,Invoice,INV05642,L-4056,Nat Grapefruit FL,46.26,KG,513.02,1142.62,11.09,24.7,BELIZE BREWING,44274,44274,FLAVOR,Posted,124754.19,LSANTIAGO,Posted,285849.41,629.6,0.551014335,Normal Revenue,More than 30%,1142.62,3,2021
INV05642_L-4910,Invoice,INV05642,L-4910,Nat Guava Fl WONF,31.24,KG,602.93,1280.22,19.3,40.98,BELIZE BREWING,44274,44274,FLAVOR,Posted,124754.19,LSANTIAGO,Posted,285849.41,677.29,0.529041883,Normal Revenue,More than 30%,1280.22,3,2021
INV05642_I-210000A,Invoice,INV05642,I-210000A,Sodium Benzoate EDF Granular,25,KG,49,62,1.96,2.48,BELIZE BREWING,44274,44274,RE-SALE,Posted,124754.19,LSANTIAGO,Posted,285849.41,13,0.209677419,Normal Revenue,Between 30% and 30%,62,3,2021
INV05642_D-7937,Invoice,INV05642,D-7937,Natural Sweet Flavor (F),25,KG,1101,2325,44.04,93,BELIZE BREWING,44274,44274,DRY BLEND,Posted,124754.19,LSANTIAGO,Posted,285849.41,1224,0.526451613,Normal Revenue,More than 30%,2325,3,2021
INV05661_B-1237,Invoice,INV05661,B-1237,N&A Fruit Punch FL Juice Base,25,GAL,291.08,599.75,11.64,23.99,NEVADA,44279,44280,FJB,Posted,12447.79,LSANTIAGO,Posted,1761785.05,308.67,0.514664444,Normal Revenue,More than 30%,599.75,3,2021
INV05661_B-1506,Invoice,INV05661,B-1506,N&A Pear FJB,1004.99,KG,2974.77,4482.26,2.96,4.46,NEVADA,44279,44280,FJB,Posted,12447.79,LSANTIAGO,Posted,1761785.05,1507.49,0.33632364,Normal Revenue,More than 30%,4482.26,3,2021
INV05653_I-030022A,Invoice,INV05653,I-030022A,Malic Acid,200,KG,486,654,2.43,3.27,BONLAC,44278,44278,RE-SALE,Posted,320188.32,LSANTIAGO,Posted,8464367.53,168,0.256880734,Normal Revenue,Between 30% and 30%,654,3,2021
INV05655_L-1688,Invoice,INV05655,L-1688,NAT Cloud Emuls,100,KG,428,614,4.28,6.14,BONLAC,44278,44278,EMULSION,Posted,320188.32,LSANTIAGO,Posted,8464367.53,186,0.302931596,Normal Revenue,More than 30%,614,3,2021
INV05655_SB,Invoice,INV05655,SB,Sample Box,1,Each,0,1.5,0,1.5,BONLAC,44278,44278,NON-INV,Posted,320188.32,LSANTIAGO,Posted,8464367.53,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05656_L-2070,Invoice,INV05656,L-2070,NAT Orange Emuls WONF,101.35,KG,499.66,714.52,4.93,7.05,BONLAC,44278,44278,EMULSION,Posted,320188.32,LSANTIAGO,Posted,8464367.53,214.86,0.300705369,Normal Revenue,More than 30%,714.52,3,2021
INV05656_SB,Invoice,INV05656,SB,Sample Box,1,Each,0,1.5,0,1.5,BONLAC,44278,44278,NON-INV,Posted,320188.32,LSANTIAGO,Posted,8464367.53,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05657_I-210001A,Invoice,INV05657,I-210001A,Potassium Sorbate Granular,300,KG,1395,1755,4.65,5.85,BONLAC,44278,44278,RE-SALE,Posted,320188.32,LSANTIAGO,Posted,8464367.53,360,0.205128205,Normal Revenue,Between 30% and 30%,1755,3,2021
INV05661_B-1434,Invoice,INV05661,B-1434,N&A Apple FJB,1003.27,KG,3009.81,4474.58,3,4.46,NEVADA,44279,44280,FJB,Posted,12447.79,LSANTIAGO,Posted,1761785.05,1464.77,0.327353629,Normal Revenue,More than 30%,4474.58,3,2021
INV05661_B-1451,Invoice,INV05661,B-1451,N&A Peach FJB,814,KG,2352.47,3296.7,2.89,4.05,NEVADA,44279,44280,FJB,Posted,12447.79,LSANTIAGO,Posted,1761785.05,944.23,0.28641672,Normal Revenue,Between 30% and 30%,3296.7,3,2021
INV05661_SB,Invoice,INV05661,SB,Sample Box,1,Each,0,1.5,0,1.5,NEVADA,44279,44280,NON-INV,Posted,12447.79,LSANTIAGO,Posted,1761785.05,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05643_E-0115,Invoice,INV05643,E-0115,Nat Orange Emls WONF,424.41,KG,2304.55,5390.01,5.43,12.7,TROPIC,44280,44280,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,3085.46,0.572440496,Normal Revenue,More than 30%,5390.01,3,2021
INV05654_B-1168,Invoice,INV05654,B-1168,N&A Kiwi Strawberry FL Juice Base,400,GAL,6069.12,10220,15.17,25.55,BONLAC,44278,44278,FJB,Posted,320188.32,LSANTIAGO,Posted,8464367.53,4150.88,0.406152642,Normal Revenue,More than 30%,10220,3,2021
INV05654_L-3465,Invoice,INV05654,L-3465,N&A Pineapple FL,49,KG,318.99,461.09,6.51,9.41,BONLAC,44278,44278,FLAVOR,Posted,320188.32,LSANTIAGO,Posted,8464367.53,142.1,0.308182784,Normal Revenue,More than 30%,461.09,3,2021
INV05654_SB,Invoice,INV05654,SB,Sample Box,1,Each,0,1.5,0,1.5,BONLAC,44278,44278,NON-INV,Posted,320188.32,LSANTIAGO,Posted,8464367.53,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05643_E-0114,Invoice,INV05643,E-0114,N&A Fruit Punch Emls FL,2335.66,KG,11608.23,24944.85,4.97,10.68,TROPIC,44280,44280,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,13336.62,0.534644225,Normal Revenue,More than 30%,24944.85,3,2021
INV05643_L-4420,Invoice,INV05643,L-4420,Fruit Punch Color Phase,726.12,KG,4654.43,9221.72,6.41,12.7,TROPIC,44280,44280,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,4567.29,0.495275285,Normal Revenue,More than 30%,9221.72,3,2021
INV05643_L-4060,Invoice,INV05643,L-4060,N&A Blue Punch FL,1654.8,KG,10210.12,23746.38,6.17,14.35,TROPIC,44280,44280,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,13536.26,0.570034675,Normal Revenue,More than 30%,23746.38,3,2021
INV05643_L-1259,Invoice,INV05643,L-1259,Cloud Emulsion,399,KG,2561.58,3355.59,6.42,8.41,TROPIC,44280,44280,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,794.01,0.236623068,Normal Revenue,Between 30% and 30%,3355.59,3,2021
INV05643_E-0148,Invoice,INV05643,E-0148,N&A Lemon Lime Emuls,395.2,KG,2699.22,6236.26,6.83,15.78,TROPIC,44280,44280,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,3537.04,0.567173274,Normal Revenue,More than 30%,6236.26,3,2021
INV05643_SB,Invoice,INV05643,SB,Sample Box,1,Each,0,1.5,0,1.5,TROPIC,44280,44280,NON-INV,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05644_D-7835,Invoice,INV05644,D-7835,Isotonic Mineral Blend (F),18150,KG,82940,154275,4.57,8.5,TROPIC,44280,44280,DRY BLEND,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,71335,0.462388592,Normal Revenue,More than 30%,154275,3,2021
INV05645_L-2500,Invoice,INV05645,L-2500,N&A Mixed Fruit FL,1281,KG,8813.28,13975.71,6.88,10.91,TROPIC,44280,44280,FLAVOR,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,5162.43,0.369385885,Normal Revenue,More than 30%,13975.71,3,2021
INV05645_SB,Invoice,INV05645,SB,Sample Box,1,Each,0,1.5,0,1.5,TROPIC,44280,44280,NON-INV,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,1.5,1,Normal Revenue,More than 30%,1.5,3,2021
INV05646_L-1688,Invoice,INV05646,L-1688,NAT Cloud Emuls,1200,KG,5136.86,6480,4.28,5.4,TROPIC,44280,44280,EMULSION,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,1343.14,0.207274691,Normal Revenue,Between 30% and 30%,6480,3,2021
INV05647_D-7653,Invoice,INV05647,D-7653,Energy Premix 137176 (F),2725,KG,27880.56,72212.5,10.23,26.5,TROPIC,44280,44280,DRY BLEND,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,44331.94,0.613909503,Normal Revenue,More than 30%,72212.5,3,2021
INV05648_D-7658,Invoice,INV05648,D-7658,"Red 2, Granular",75,KG,1129.5,1348.5,15.06,17.98,TROPIC,44280,44280,RE-SALE,Posted,193225.16,ASTANZIOLA,Posted,10672799.38,219,0.16240267,Normal Revenue,Between 10% and 20%,1348.5,3,2021
INV05649_L-4275,Invoice,INV05649,L-4275,N&A Orange Vanilla FL,418.6,KG,8870.13,40315.37,21.19,96.31,VARELA,44281,44281,FLAVOR,Posted,1258.76,ASTANZIOLA,Posted,547173.43,31445.24,0.779981431,Normal Revenue,More than 30%,40315.37,3,2021
INV05650_L-4792,Invoice,INV05650,L-4792,Nat Vanilla Fl WONF,114.6,KG,645.2,1492.09,5.63,13.02,VARELA,44281,44281,FLAVOR,Posted,1258.76,ASTANZIOLA,Posted,547173.43,846.89,0.567586406,Normal Revenue,More than 30%,1492.09,3,2021
